zip_code,time_of_day,foot_traffic_score
90001,morning,56.6
90001,afternoon,56.2
90001,evening,31.6
90002,morning,40.5
90002,afternoon,68.2
90002,evening,28.1
90003,morning,53.3
90003,afternoon,55.0
90003,evening,53.3
90004,morning,61.0
90004,afternoon,55.4
90004,evening,27.4
90005,morning,52.8
90005,afternoon,50.4
90005,evening,49.4
90006,morning,48.0
90006,afternoon,60.8
90006,evening,53.5
90007,morning,32.1
90007,afternoon,56.9
90007,evening,42.1
90008,morning,42.3
90008,afternoon,44.0
90008,evening,30.1
90010,morning,71.4
90010,afternoon,44.9
90010,evening,52.6
90011,morning,53.5
90011,afternoon,38.2
90011,evening,47.1
90012,morning,61.3
90012,afternoon,63.3
90012,evening,44.0
90013,morning,40.0
90013,afternoon,43.9
90013,evening,37.2
90014,morning,27.1
90014,afternoon,65.3
90014,evening,51.7
90015,morning,51.1
90015,afternoon,35.9
90015,evening,47.2
90016,morning,55.2
90016,afternoon,35.5
90016,evening,43.7
90017,morning,45.9
90017,afternoon,46.6
90017,evening,38.3
90018,morning,56.4
90018,afternoon,59.9
90018,evening,36.6
90019,morning,59.7
90019,afternoon,33.3
90019,evening,29.5
90020,morning,39.6
90020,afternoon,67.6
90020,evening,40.6
90021,morning,38.1
90021,afternoon,47.7
90021,evening,47.1
90022,morning,44.0
90022,afternoon,63.9
90022,evening,28.7
90023,morning,56.7
90023,afternoon,52.7
90023,evening,41.0
90024,morning,52.0
90024,afternoon,36.1
90024,evening,51.2
90025,morning,75.6
90025,afternoon,68.8
90025,evening,31.0
90026,morning,55.4
90026,afternoon,54.4
90026,evening,26.5
90027,morning,58.2
90027,afternoon,54.4
90027,evening,43.2
90028,morning,59.6
90028,afternoon,42.7
90028,evening,48.2
90029,morning,60.3
90029,afternoon,32.3
90029,evening,44.6
90031,morning,57.8
90031,afternoon,38.8
90031,evening,30.4
90032,morning,70.1
90032,afternoon,34.4
90032,evening,32.3
90033,morning,54.4
90033,afternoon,66.6
90033,evening,52.8
90034,morning,77.4
90034,afternoon,55.6
90034,evening,49.3
90035,morning,76.4
90035,afternoon,34.2
90035,evening,27.5
90036,morning,62.7
90036,afternoon,42.5
90036,evening,27.9
90037,morning,53.7
90037,afternoon,62.4
90037,evening,35.7
90038,morning,44.0
90038,afternoon,46.4
90038,evening,32.6
90039,morning,78.8
90039,afternoon,36.0
90039,evening,45.1
90040,morning,64.2
90040,afternoon,30.2
90040,evening,44.8
90041,morning,70.6
90041,afternoon,66.6
90041,evening,29.8
90042,morning,77.1
90042,afternoon,59.0
90042,evening,37.5
90043,morning,47.2
90043,afternoon,38.8
90043,evening,48.7
90044,morning,48.7
90044,afternoon,52.5
90044,evening,41.5
90045,morning,80.8
90045,afternoon,62.4
90045,evening,39.8
90046,morning,67.2
90046,afternoon,52.5
90046,evening,36.0
90047,morning,63.2
90047,afternoon,66.8
90047,evening,48.9
90048,morning,80.0
90048,afternoon,40.7
90048,evening,28.8
90049,morning,99.9
90049,afternoon,40.9
90049,evening,39.4
90052,morning,18.8
90052,afternoon,67.6
90052,evening,32.4
90056,morning,80.3
90056,afternoon,54.1
90056,evening,42.7
90057,morning,39.7
90057,afternoon,48.9
90057,evening,29.1
90058,morning,35.7
90058,afternoon,45.9
90058,evening,48.7
90059,morning,46.5
90059,afternoon,60.1
90059,evening,47.7
90061,morning,50.5
90061,afternoon,35.1
90061,evening,27.7
90062,morning,56.7
90062,afternoon,41.9
90062,evening,51.9
90063,morning,60.6
90063,afternoon,41.9
90063,evening,39.9
90064,morning,91.0
90064,afternoon,35.1
90064,evening,36.1
90065,morning,75.9
90065,afternoon,60.8
90065,evening,30.4
90066,morning,78.4
90066,afternoon,37.4
90066,evening,37.0
90067,morning,94.4
90067,afternoon,68.5
90067,evening,29.0
90068,morning,67.5
90068,afternoon,44.4
90068,evening,51.6
90069,morning,73.4
90069,afternoon,41.8
90069,evening,34.5
90071,morning,25.2
90071,afternoon,31.9
90071,evening,44.9
90073,morning,25.2
90073,afternoon,44.6
90073,evening,50.5
90077,morning,99.9
90077,afternoon,43.2
90077,evening,35.6
90079,morning,13.6
90079,afternoon,34.6
90079,evening,41.2
90089,morning,10.2
90089,afternoon,41.4
90089,evening,44.1
90094,morning,99.9
90094,afternoon,60.5
90094,evening,46.6
90095,morning,22.3
90095,afternoon,62.7
90095,evening,50.1
90201,morning,54.5
90201,afternoon,52.1
90201,evening,51.3
90210,morning,99.9
90210,afternoon,68.9
90210,evening,44.3
90211,morning,81.6
90211,afternoon,66.3
90211,evening,32.0
90212,morning,69.3
90212,afternoon,32.3
90212,evening,44.1
90220,morning,56.3
90220,afternoon,38.6
90220,evening,52.3
90221,morning,46.7
90221,afternoon,30.7
90221,evening,33.6
90222,morning,53.0
90222,afternoon,62.0
90222,evening,35.4
90230,morning,81.9
90230,afternoon,51.6
90230,evening,43.4
90232,morning,77.4
90232,afternoon,33.7
90232,evening,42.6
90240,morning,78.1
90240,afternoon,36.6
90240,evening,42.0
90241,morning,58.4
90241,afternoon,63.0
90241,evening,27.2
90242,morning,70.9
90242,afternoon,37.0
90242,evening,51.1
90245,morning,99.9
90245,afternoon,31.7
90245,evening,54.2
90247,morning,50.5
90247,afternoon,46.2
90247,evening,38.8
90248,morning,55.1
90248,afternoon,42.4
90248,evening,49.3
90249,morning,65.6
90249,afternoon,31.6
90249,evening,39.9
90250,morning,62.2
90250,afternoon,51.2
90250,evening,42.6
90254,morning,96.7
90254,afternoon,61.3
90254,evening,49.8
90255,morning,55.1
90255,afternoon,35.9
90255,evening,50.5
90260,morning,54.6
90260,afternoon,68.2
90260,evening,43.7
90262,morning,47.6
90262,afternoon,38.2
90262,evening,36.4
90263,morning,26.7
90263,afternoon,64.1
90263,evening,39.9
90265,morning,99.9
90265,afternoon,59.4
90265,evening,28.2
90266,morning,99.9
90266,afternoon,50.2
90266,evening,49.3
90270,morning,43.3
90270,afternoon,38.7
90270,evening,41.5
90272,morning,99.9
90272,afternoon,40.7
90272,evening,33.6
90274,morning,99.9
90274,afternoon,44.6
90274,evening,51.8
90275,morning,99.9
90275,afternoon,41.1
90275,evening,34.0
90277,morning,77.0
90277,afternoon,45.7
90277,evening,30.8
90278,morning,98.2
90278,afternoon,52.8
90278,evening,39.9
90280,morning,60.9
90280,afternoon,59.7
90280,evening,46.5
90290,morning,99.9
90290,afternoon,68.8
90290,evening,49.3
90291,morning,78.1
90291,afternoon,61.3
90291,evening,25.7
90292,morning,88.9
90292,afternoon,69.0
90292,evening,54.1
90293,morning,88.7
90293,afternoon,37.4
90293,evening,25.3
90301,morning,44.5
90301,afternoon,63.1
90301,evening,29.5
90302,morning,59.0
90302,afternoon,69.1
90302,evening,48.9
90303,morning,64.3
90303,afternoon,60.1
90303,evening,53.7
90304,morning,59.8
90304,afternoon,31.2
90304,evening,51.6
90305,morning,57.9
90305,afternoon,46.2
90305,evening,46.9
90401,morning,75.2
90401,afternoon,44.2
90401,evening,26.5
90402,morning,99.9
90402,afternoon,32.7
90402,evening,40.9
90403,morning,100.0
90403,afternoon,38.2
90403,evening,45.3
90404,morning,55.3
90404,afternoon,41.4
90404,evening,31.8
90405,morning,76.8
90405,afternoon,50.5
90405,evening,51.0
90501,morning,73.1
90501,afternoon,53.5
90501,evening,50.9
90502,morning,65.5
90502,afternoon,52.7
90502,evening,48.8
90503,morning,87.1
90503,afternoon,60.5
90503,evening,30.0
90504,morning,72.4
90504,afternoon,56.2
90504,evening,32.2
90505,morning,66.5
90505,afternoon,50.0
90505,evening,32.4
90506,morning,19.3
90506,afternoon,51.2
90506,evening,32.4
90601,morning,66.1
90601,afternoon,39.8
90601,evening,54.6
90602,morning,57.6
90602,afternoon,58.6
90602,evening,53.0
90603,morning,73.4
90603,afternoon,60.1
90603,evening,32.0
90604,morning,60.8
90604,afternoon,35.0
90604,evening,40.6
90605,morning,64.1
90605,afternoon,32.7
90605,evening,44.4
90606,morning,71.3
90606,afternoon,54.8
90606,evening,53.7
90621,morning,72.2
90621,afternoon,44.0
90621,evening,41.0
90623,morning,82.5
90623,afternoon,59.6
90623,evening,35.0
90630,morning,75.9
90630,afternoon,53.4
90630,evening,28.2
90631,morning,70.8
90631,afternoon,52.3
90631,evening,30.1
90638,morning,77.9
90638,afternoon,61.5
90638,evening,54.4
90639,morning,23.1
90639,afternoon,60.4
90639,evening,39.3
90640,morning,63.7
90640,afternoon,42.0
90640,evening,48.1
90650,morning,72.1
90650,afternoon,62.0
90650,evening,51.6
90660,morning,56.4
90660,afternoon,65.2
90660,evening,36.3
90670,morning,56.0
90670,afternoon,32.1
90670,evening,43.7
90701,morning,73.1
90701,afternoon,43.7
90701,evening,50.0
90703,morning,77.2
90703,afternoon,60.0
90703,evening,31.2
90704,morning,72.4
90704,afternoon,35.6
90704,evening,43.0
90706,morning,53.3
90706,afternoon,40.2
90706,evening,51.6
90710,morning,50.3
90710,afternoon,52.9
90710,evening,26.8
90712,morning,83.7
90712,afternoon,62.9
90712,evening,40.2
90713,morning,84.5
90713,afternoon,48.3
90713,evening,51.0
90715,morning,65.7
90715,afternoon,31.1
90715,evening,40.9
90716,morning,62.1
90716,afternoon,60.2
90716,evening,47.0
90717,morning,64.5
90717,afternoon,53.6
90717,evening,54.5
90723,morning,48.9
90723,afternoon,31.6
90723,evening,39.9
90731,morning,59.0
90731,afternoon,44.4
90731,evening,36.7
90732,morning,74.2
90732,afternoon,67.7
90732,evening,26.9
90740,morning,68.1
90740,afternoon,58.4
90740,evening,48.1
90744,morning,47.3
90744,afternoon,59.3
90744,evening,51.8
90745,morning,64.5
90745,afternoon,41.1
90745,evening,32.7
90746,morning,75.1
90746,afternoon,36.2
90746,evening,25.9
90747,morning,29.3
90747,afternoon,52.9
90747,evening,36.6
90755,morning,64.4
90755,afternoon,53.4
90755,evening,43.8
90802,morning,64.1
90802,afternoon,68.3
90802,evening,26.6
90803,morning,79.8
90803,afternoon,38.6
90803,evening,50.2
90804,morning,55.4
90804,afternoon,47.0
90804,evening,26.2
90805,morning,46.2
90805,afternoon,61.8
90805,evening,50.6
90806,morning,49.1
90806,afternoon,56.4
90806,evening,43.5
90807,morning,60.0
90807,afternoon,44.4
90807,evening,30.3
90808,morning,79.5
90808,afternoon,49.6
90808,evening,47.2
90810,morning,66.8
90810,afternoon,35.7
90810,evening,47.2
90813,morning,48.5
90813,afternoon,57.0
90813,evening,38.3
90814,morning,77.1
90814,afternoon,32.6
90814,evening,29.3
90815,morning,69.2
90815,afternoon,44.2
90815,evening,51.1
90822,morning,29.3
90822,afternoon,67.0
90822,evening,39.4
90831,morning,28.5
90831,afternoon,61.7
90831,evening,29.6
90840,morning,15.4
90840,afternoon,67.0
90840,evening,27.0
91001,morning,91.2
91001,afternoon,49.1
91001,evening,51.4
91006,morning,83.9
91006,afternoon,39.6
91006,evening,53.7
91007,morning,73.4
91007,afternoon,59.2
91007,evening,45.4
91008,morning,96.5
91008,afternoon,49.9
91008,evening,37.4
91010,morning,68.5
91010,afternoon,33.3
91010,evening,41.3
91011,morning,99.9
91011,afternoon,39.6
91011,evening,26.2
91016,morning,69.1
91016,afternoon,36.1
91016,evening,35.8
91020,morning,56.9
91020,afternoon,37.9
91020,evening,27.8
91024,morning,81.0
91024,afternoon,53.0
91024,evening,53.3
91030,morning,78.2
91030,afternoon,43.1
91030,evening,50.7
91040,morning,80.2
91040,afternoon,44.9
91040,evening,28.6
91042,morning,62.9
91042,afternoon,60.2
91042,evening,45.6
91046,morning,17.2
91046,afternoon,52.5
91046,evening,46.7
91101,morning,70.2
91101,afternoon,41.7
91101,evening,38.4
91103,morning,61.1
91103,afternoon,58.6
91103,evening,37.9
91104,morning,67.0
91104,afternoon,54.3
91104,evening,51.4
91105,morning,93.6
91105,afternoon,37.3
91105,evening,25.5
91106,morning,61.7
91106,afternoon,47.2
91106,evening,44.1
91107,morning,83.7
91107,afternoon,63.0
91107,evening,54.3
91108,morning,99.9
91108,afternoon,65.3
91108,evening,53.2
91125,morning,19.3
91125,afternoon,62.7
91125,evening,42.7
91201,morning,51.8
91201,afternoon,54.8
91201,evening,49.4
91202,morning,61.0
91202,afternoon,44.1
91202,evening,28.0
91203,morning,60.2
91203,afternoon,50.1
91203,evening,31.5
91204,morning,63.7
91204,afternoon,66.6
91204,evening,27.3
91205,morning,43.5
91205,afternoon,41.9
91205,evening,33.9
91206,morning,59.5
91206,afternoon,45.2
91206,evening,39.0
91207,morning,68.1
91207,afternoon,32.2
91207,evening,51.4
91208,morning,77.5
91208,afternoon,48.4
91208,evening,44.1
91210,morning,76.3
91210,afternoon,51.9
91210,evening,28.1
91214,morning,91.8
91214,afternoon,53.9
91214,evening,36.8
91301,morning,97.3
91301,afternoon,54.3
91301,evening,27.6
91302,morning,99.9
91302,afternoon,62.4
91302,evening,46.6
91303,morning,60.1
91303,afternoon,40.8
91303,evening,33.3
91304,morning,61.8
91304,afternoon,43.4
91304,evening,41.9
91306,morning,71.5
91306,afternoon,48.1
91306,evening,45.7
91307,morning,86.6
91307,afternoon,44.8
91307,evening,48.8
91311,morning,76.2
91311,afternoon,64.6
91311,evening,50.2
91316,morning,57.5
91316,afternoon,59.6
91316,evening,49.1
91321,morning,69.7
91321,afternoon,48.4
91321,evening,51.2
91324,morning,76.0
91324,afternoon,41.8
91324,evening,38.9
91325,morning,65.3
91325,afternoon,49.1
91325,evening,28.9
91326,morning,99.9
91326,afternoon,53.4
91326,evening,50.5
91330,morning,15.6
91330,afternoon,35.0
91330,evening,28.8
91331,morning,56.7
91331,afternoon,66.4
91331,evening,53.1
91335,morning,54.7
91335,afternoon,38.3
91335,evening,27.6
91340,morning,63.0
91340,afternoon,56.7
91340,evening,40.3
91342,morning,59.3
91342,afternoon,33.3
91342,evening,46.8
91343,morning,64.9
91343,afternoon,64.5
91343,evening,30.6
91344,morning,72.0
91344,afternoon,40.9
91344,evening,53.5
91345,morning,72.7
91345,afternoon,61.8
91345,evening,46.8
91350,morning,93.0
91350,afternoon,45.5
91350,evening,41.7
91351,morning,81.9
91351,afternoon,54.6
91351,evening,43.2
91352,morning,52.8
91352,afternoon,60.6
91352,evening,37.5
91354,morning,91.5
91354,afternoon,50.6
91354,evening,30.1
91355,morning,67.3
91355,afternoon,56.3
91355,evening,52.7
91356,morning,74.5
91356,afternoon,43.6
91356,evening,48.7
91361,morning,93.1
91361,afternoon,40.4
91361,evening,30.9
91362,morning,91.0
91362,afternoon,61.2
91362,evening,40.3
91364,morning,79.5
91364,afternoon,51.7
91364,evening,30.1
91367,morning,72.9
91367,afternoon,67.0
91367,evening,48.8
91371,morning,25.0
91371,afternoon,64.8
91371,evening,37.2
91381,morning,83.7
91381,afternoon,69.7
91381,evening,47.9
91384,morning,92.0
91384,afternoon,37.0
91384,evening,31.0
91387,morning,76.3
91387,afternoon,43.6
91387,evening,31.4
91390,morning,95.0
91390,afternoon,53.5
91390,evening,41.9
91401,morning,67.0
91401,afternoon,63.3
91401,evening,45.1
91402,morning,51.3
91402,afternoon,34.4
91402,evening,46.1
91403,morning,75.9
91403,afternoon,48.3
91403,evening,54.7
91405,morning,53.2
91405,afternoon,66.6
91405,evening,35.1
91406,morning,52.0
91406,afternoon,48.1
91406,evening,50.6
91411,morning,53.0
91411,afternoon,49.5
91411,evening,41.3
91423,morning,76.4
91423,afternoon,44.5
91423,evening,35.6
91436,morning,98.7
91436,afternoon,36.6
91436,evening,44.1
91501,morning,53.4
91501,afternoon,41.7
91501,evening,51.8
91502,morning,52.7
91502,afternoon,38.8
91502,evening,45.0
91504,morning,73.7
91504,afternoon,63.0
91504,evening,45.4
91505,morning,70.3
91505,afternoon,42.5
91505,evening,47.4
91506,morning,83.3
91506,afternoon,40.1
91506,evening,36.3
91601,morning,65.2
91601,afternoon,33.4
91601,evening,30.8
91602,morning,76.8
91602,afternoon,70.0
91602,evening,45.5
91604,morning,97.2
91604,afternoon,54.7
91604,evening,51.3
91605,morning,57.3
91605,afternoon,35.7
91605,evening,54.6
91606,morning,53.5
91606,afternoon,59.6
91606,evening,46.7
91607,morning,72.2
91607,afternoon,39.6
91607,evening,34.3
91608,morning,23.4
91608,afternoon,55.2
91608,evening,38.6
91702,morning,73.6
91702,afternoon,31.0
91702,evening,36.7
91706,morning,67.1
91706,afternoon,44.9
91706,evening,34.9
91709,morning,83.6
91709,afternoon,53.1
91709,evening,36.7
91711,morning,85.2
91711,afternoon,69.7
91711,evening,48.5
91722,morning,72.0
91722,afternoon,32.6
91722,evening,46.8
91723,morning,57.6
91723,afternoon,37.5
91723,evening,55.0
91724,morning,77.1
91724,afternoon,66.2
91724,evening,39.5
91731,morning,50.6
91731,afternoon,69.3
91731,evening,36.6
91732,morning,47.8
91732,afternoon,35.4
91732,evening,36.7
91733,morning,44.7
91733,afternoon,61.6
91733,evening,32.1
91740,morning,71.0
91740,afternoon,50.9
91740,evening,53.2
91741,morning,93.5
91741,afternoon,43.2
91741,evening,44.4
91744,morning,68.5
91744,afternoon,40.0
91744,evening,48.3
91745,morning,81.7
91745,afternoon,42.4
91745,evening,29.9
91746,morning,59.9
91746,afternoon,52.6
91746,evening,38.2
91748,morning,63.5
91748,afternoon,53.4
91748,evening,36.1
91750,morning,63.6
91750,afternoon,33.3
91750,evening,48.6
91754,morning,68.4
91754,afternoon,39.8
91754,evening,49.7
91755,morning,51.1
91755,afternoon,37.1
91755,evening,52.2
91759,morning,84.7
91759,afternoon,51.1
91759,evening,39.0
91765,morning,70.0
91765,afternoon,54.5
91765,evening,42.3
91766,morning,63.2
91766,afternoon,36.0
91766,evening,40.1
91767,morning,62.9
91767,afternoon,55.6
91767,evening,52.7
91768,morning,61.9
91768,afternoon,43.8
91768,evening,38.3
91770,morning,63.2
91770,afternoon,63.8
91770,evening,42.0
91773,morning,63.4
91773,afternoon,69.1
91773,evening,51.4
91775,morning,72.9
91775,afternoon,69.5
91775,evening,30.4
91776,morning,68.1
91776,afternoon,43.6
91776,evening,46.9
91780,morning,69.4
91780,afternoon,56.5
91780,evening,44.4
91789,morning,85.2
91789,afternoon,47.5
91789,evening,34.2
91790,morning,72.8
91790,afternoon,42.1
91790,evening,48.5
91791,morning,70.5
91791,afternoon,55.2
91791,evening,49.5
91792,morning,66.5
91792,afternoon,30.3
91792,evening,46.2
91801,morning,69.4
91801,afternoon,30.0
91801,evening,51.5
91803,morning,62.3
91803,afternoon,58.4
91803,evening,53.2
92397,morning,64.0
92397,afternoon,43.2
92397,evening,29.0
93243,morning,40.7
93243,afternoon,53.9
93243,evening,45.3
93510,morning,76.3
93510,afternoon,64.7
93510,evening,33.4
93532,morning,75.6
93532,afternoon,59.9
93532,evening,49.0
93534,morning,53.8
93534,afternoon,54.0
93534,evening,32.9
93535,morning,54.5
93535,afternoon,64.8
93535,evening,53.0
93536,morning,76.7
93536,afternoon,56.0
93536,evening,29.3
93543,morning,46.9
93543,afternoon,44.1
93543,evening,38.0
93544,morning,63.4
93544,afternoon,63.6
93544,evening,29.6
93550,morning,60.5
93550,afternoon,34.0
93550,evening,26.6
93551,morning,80.2
93551,afternoon,51.5
93551,evening,41.2
93552,morning,55.0
93552,afternoon,45.6
93552,evening,26.0
93553,morning,61.4
93553,afternoon,31.2
93553,evening,35.6
93560,morning,48.5
93560,afternoon,35.4
93560,evening,37.5
93563,morning,10.4
93563,afternoon,30.4
93563,evening,44.4
93591,morning,54.5
93591,afternoon,33.7
93591,evening,39.7
